paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
1,3,local,1,92,988.858140135973,27.0831361477003,5.3845361747864,10.7484580449562,3.21182371343284
1,4,local,1,96,988.478639400149,26.5972300056402,3.5652299501085,10.2966524937516,2.96213736858352
1,5,local,1,98,988.248833843196,26.9543962669763,3.51894333984498,10.0841717739102,2.54528662622854
1,6,local,1,93,988.84512162743,26.6891314634264,3.58992748561162,10.6327432433057,3.08249323150702
1,7,local,1,94,988.429129576709,27.1965172746057,3.50437661188027,10.5152035061352,2.75150734694373
1,8,local,1,97,988.396704532687,26.8844224312181,3.71085651506237,10.1896567477597,2.7258387876421
1,9,local,1,94,988.690687303228,26.7394634107901,3.39023268290971,10.5179860351407,2.69931608156793
1,10,local,1,96,988.519713871593,27.1490720831136,5.43195468661529,10.2970803528291,3.0429020465355
1,1,local,2,89,987.93909267978,27.449680424665,6.30129853912649,11.100439243593,3.66936750172967
1,2,local,2,88,988.431589577332,27.716218865987,3.81462101962448,11.2321771542879,3.18354293121942
1,3,local,2,90,987.734785722595,27.1920603003041,6.20152701609342,10.9748309524733,3.95461876030723
1,4,local,2,93,986.749712018011,26.7368019182202,4.90192481663281,10.6102119571829,3.67428031919402
1,5,local,2,96,987.505244265483,27.028173014477,4.40135179825195,10.2865129610988,2.70505262082574
1,6,local,2,91,987.965168782105,26.7892387054861,4.80111606851229,10.8567600965067,3.31105252735783
1,7,local,2,93,988.119684489649,27.2585494419455,3.89173929369909,10.6249428439747,2.85392754014725
1,8,local,2,96,987.99352928605,26.917058856732,4.24929676986387,10.2915992633964,2.93272154851835
1,9,local,2,94,988.690687303228,26.7394634107901,3.39023268290971,10.5179860351407,2.69931608156793
1,10,local,2,94,987.199461182706,27.1955946188748,6.29975795010874,10.5021219274756,3.72784813479922
1,1,local,3,0,210.274697956951,NaN,NaN,Inf,NaN
1,2,local,3,0,181.605757426659,NaN,NaN,Inf,NaN
1,3,local,3,0,592.049971952019,NaN,NaN,Inf,NaN
1,4,local,3,0,648.5102578226,NaN,NaN,Inf,NaN
1,5,local,3,0,397.564217862607,NaN,NaN,Inf,NaN
1,6,local,3,0,762.821505284441,NaN,NaN,Inf,NaN
1,7,local,3,0,533.026505924796,NaN,NaN,Inf,NaN
1,8,local,3,0,321.704788714598,NaN,NaN,Inf,NaN
1,9,local,3,0,388.905094807766,NaN,NaN,Inf,NaN
1,10,local,3,0,338.240019530759,NaN,NaN,Inf,NaN
1,1,local,4,0,210.274697956951,NaN,NaN,Inf,NaN
1,2,local,4,0,181.605757426659,NaN,NaN,Inf,NaN
1,3,local,4,0,592.049971952019,NaN,NaN,Inf,NaN
1,4,local,4,0,648.5102578226,NaN,NaN,Inf,NaN
1,5,local,4,0,397.564217862607,NaN,NaN,Inf,NaN
