res_id,paramSet,rep,method,threshNr,nrTurns,length,angleMu,angleSD,stepMu,stepSD
128,1,8,nonlocal,3,0.329896907216495,0.935383773622307,1.20543298487182,14.9043737042194,2.92307429256971,6.73309539462727
129,1,9,nonlocal,3,0.308510638297872,0.93341666928117,1.11613205706428,21.0921676680503,3.21867816993507,10.0384026669943
130,1,10,nonlocal,3,0.28125,0.920820417374867,1.1149243080019,25.4804420331844,3.41044599027728,6.83436459983879
131,1,1,nonlocal,4,0.153846153846154,0.861924102559325,1.95054796949257,39.0109178511975,6.15660073256661,12.6665433559921
132,1,2,nonlocal,4,0.168539325842697,0.724269178955007,1.68041662183731,27.5483329315903,4.82846119303338,8.66427808846508
133,1,3,nonlocal,4,0.0869565217391304,0.859143717644948,1.75853624917534,38.9339074752226,10.7392964705619,16.8984439832787
134,1,4,nonlocal,4,0.0729166666666667,0.847540036286785,1.34896596121174,36.616904138627,12.1077148040969,22.2620588242351
135,1,5,nonlocal,4,0.173469387755102,0.857193443676267,1.80014300826489,37.2499533176038,5.04231437456628,10.8551814811891
136,1,6,nonlocal,4,0.043010752688172,0.863966750155538,1.08958253908221,19.6242250817669,21.5991687538884,21.305689305797
137,1,7,nonlocal,4,0.126315789473684,0.790846853188406,1.51157391679683,32.4794607874779,6.59039044323672,10.7736964014645
138,1,8,nonlocal,4,0.134020618556701,0.834084885246668,1.73168718781285,39.8661125446004,6.41603757882052,17.7376402571906
139,1,9,nonlocal,4,0.159574468085106,0.871375133430823,1.69127265634804,31.6468788373237,5.80916755620549,7.84551000461873
140,1,10,nonlocal,4,0.145833333333333,0.872933128715897,1.74673644978358,28.5911981670521,6.23523663368498,12.687118805978
141,1,1,nonlocal,5,0.153846153846154,0.861924102559325,1.95054796949257,39.0109178511975,6.15660073256661,12.6665433559921
142,1,2,nonlocal,5,0.101123595505618,0.68009341068997,2.53889532788376,45.6508085576981,7.55659345211078,11.9109398431219
143,1,3,nonlocal,5,0.0760869565217391,0.845167860694841,1.94023370201569,40.2433250525549,12.0738265813549,16.0300329853397
144,1,4,nonlocal,5,0.0416666666666667,0.829592562268884,1.73705655425739,50.2973128720033,20.7398140567221,28.5520434636735
145,1,5,nonlocal,5,0.153061224489796,0.781491975374625,1.70314359198243,27.4000423921416,5.2099465024975,7.97959603301871
146,1,6,nonlocal,5,0.0645161290322581,0.879379320578703,0.965716167076377,28.3659013636594,14.6563220096451,19.0356481838466
147,1,7,nonlocal,5,0.157894736842105,0.792184757561294,1.71410752560259,27.0754844728743,5.2812317170753,9.71013651637395
148,1,8,nonlocal,5,0.11340206185567,0.822791595058131,2.0377541348817,32.4416633786888,7.47992359143755,18.5375423129557
149,1,9,nonlocal,5,0.127659574468085,0.81498676175573,1.89784853038693,44.3665134396228,6.79155634796442,15.2819718521279
150,1,10,nonlocal,5,0.0729166666666667,0.772702272412975,1.96463296525819,45.2910946850814,11.0386038916139,21.9761158850513
151,1,1,1D,1,0.131868131868132,0.763005869270534,2.47437605370657,44.8237540878544,6.35838224392112,24.3617208749027
152,1,2,1D,1,0.179775280898876,0.853739083281869,2.53742264943648,43.864269515118,5.33586927051168,17.6240817221446
153,1,3,1D,1,0.217391304347826,0.877160976637464,1.97574573189223,30.1336297773867,4.38580488318732,18.042345475545
154,1,4,1D,1,0.0833333333333333,0.862112195363529,2.01646918834054,31.8819041955708,10.7764024420441,63.8073548396501
155,1,5,1D,1,0.142857142857143,0.852404288147127,2.28468664407989,37.2967000041308,6.08860205819376,22.7347640331229
156,1,6,1D,1,0.0860215053763441,0.895306761347741,2.39345843244685,33.1196081092115,11.1913345168468,28.8861182529839
157,1,7,1D,1,0.168421052631579,0.881166341118786,2.09292431545324,34.1304319612253,5.50728963199241,20.175498648326
158,1,8,1D,1,0.123711340206186,0.776215134739922,2.75508003219741,38.8851856840582,6.46845945616601,24.1958861612568
159,1,9,1D,1,0.106382978723404,0.815644307900114,2.70393268596659,44.9350151197687,8.15644307900114,30.586152975969
160,1,10,1D,1,0.166666666666667,0.857856754772667,1.86873401279207,37.3396844014827,5.36160471732917,21.2991693420239
161,1,1,1D,2,0.131868131868132,0.763005869270534,2.47437605370657,44.8237540878544,6.35838224392112,24.3617208749027
162,1,2,1D,2,0.179775280898876,0.853739083281869,2.53742264943648,43.864269515118,5.33586927051168,17.6240817221446
163,1,3,1D,2,0.206521739130435,0.876327337988197,1.96167355858479,32.6004414785674,4.6122491473063,18.287484344376
164,1,4,1D,2,0.0833333333333333,0.862112195363529,2.01646918834054,31.8819041955708,10.7764024420441,63.8073548396501
165,1,5,1D,2,0.142857142857143,0.852404288147127,2.28468664407989,37.2967000041308,6.08860205819376,22.7347640331229
166,1,6,1D,2,0.0752688172043011,0.893885183202923,2.30474523139802,42.6384688166071,12.7697883314703,29.8611640461298
167,1,7,1D,2,0.168421052631579,0.881166341118786,2.09292431545324,34.1304319612253,5.50728963199241,20.175498648326
168,1,8,1D,2,0.123711340206186,0.776215134739922,2.75508003219741,38.8851856840582,6.46845945616601,24.1958861612568
169,1,9,1D,2,0.106382978723404,0.815644307900114,2.70393268596659,44.9350151197687,8.15644307900114,30.586152975969
170,1,10,1D,2,0.15625,0.8573620618224,1.8578847938306,39.1124190875795,5.715747078816,21.7348168825594
171,1,1,1D,3,0.0989010989010989,0.761593400737852,2.82179632068871,45.9385262009077,8.46214889708724,25.4322253586467
172,1,2,1D,3,0.157303370786517,0.852891630241854,2.7084643037421,43.7752979561951,6.0920830731561,17.7737050636232
173,1,3,1D,3,0.184782608695652,0.874792292831067,1.95768510292778,36.3684824620143,5.14583701665334,18.7553347245624
174,1,4,1D,3,0.0625,0.858712807512228,1.86558257888031,46.7985756365747,14.3118801252038,71.4343477715088
175,1,5,1D,3,0.102040816326531,0.830282181763648,1.95908265863849,47.2158053856457,8.30282181763648,24.3852828893016
176,1,6,1D,3,0.0645161290322581,0.882513073837407,1.60125186654252,27.8349771821219,14.7085512306235,30.6709919756557
177,1,7,1D,3,0.147368421052632,0.879848249967387,2.10472430944154,36.8606112991317,6.28463035690991,20.5022835747597
178,1,8,1D,3,0.103092783505155,0.764636689130101,2.81399851619002,43.9558875351402,7.64636689130101,25.1466742659255
179,1,9,1D,3,0.0957446808510638,0.814738400358204,2.77031504708668,48.5859710108873,9.05264889286893,31.0613755392007
180,1,10,1D,3,0.114583333333333,0.849809408740553,1.89091498984616,44.8361760702295,7.72554007945957,23.8448795724143
181,1,1,1D,4,0.0769230769230769,0.73706292991043,3.16829935208037,46.3635592885589,10.5294704272919,27.0196685769652
182,1,2,1D,4,0.112359550561798,0.793770387360583,3.05400820196631,52.7113939388567,7.93770387360584,17.4993929369771
183,1,3,1D,4,0.0869565217391304,0.836259846264289,1.26668992521016,32.7857274970151,10.4532480783036,20.2743829097565
184,1,4,1D,4,0.0625,0.858712807512228,1.86558257888031,46.7985756365747,14.3118801252038,71.4343477715088
185,1,5,1D,4,0.0714285714285714,0.823458854428969,2.7108170375955,52.3128459253917,11.7636979204138,23.0740894310528
186,1,6,1D,4,0.043010752688172,0.872610833441924,1.1016319834712,17.0322116331618,21.8152708360481,27.5228138320772
187,1,7,1D,4,0.0947368421052632,0.837762822970097,2.52415115030244,38.5169956533349,9.30847581077886,22.6305394133172
188,1,8,1D,4,0.0824742268041237,0.74697216731341,2.83942812685227,43.0365343227114,9.33715209141762,25.6202164329555
189,1,9,1D,4,0.0638297872340425,0.795895278614208,3.2136735765605,44.4876159625059,13.2649213102368,32.7700964599273
190,1,10,1D,4,0.0729166666666667,0.823499734047483,2.03738795119442,52.2308376106541,11.764281914964,25.717187077522
191,1,1,1D,5,0.0659340659340659,0.728274862307113,3.13080125734237,47.2815586816492,12.1379143717852,27.5096545856781
192,1,2,1D,5,0.112359550561798,0.793770387360583,3.05400820196631,52.7113939388567,7.93770387360584,17.4993929369771
193,1,3,1D,5,0.0869565217391304,0.836259846264289,1.26668992521016,32.7857274970151,10.4532480783036,20.2743829097565
194,1,4,1D,5,0.0625,0.858712807512228,1.86558257888031,46.7985756365747,14.3118801252038,71.4343477715088
195,1,5,1D,5,0.0714285714285714,0.823458854428969,2.7108170375955,52.3128459253917,11.7636979204138,23.0740894310528
196,1,6,1D,5,0.043010752688172,0.872610833441924,1.1016319834712,17.0322116331618,21.8152708360481,27.5228138320772
